HS_Subfind,,GIF_SURV,,Bolshoi_BDM,,Bolshoi_Rockstar,,MultiDark_BDM,,Model_GIFcosm,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-2.9218946191171957,1.2661984865703417,-2.995973332546199,1.3534147320381702,-2.996675259549333,1.4036025127622354,-2.6665093709977095,1.1305650107329046,-2.5017084077421217,0.9599431967819332,-1.6691659000306664,0.27418330717751704
-2.8474516297779457,1.2072012194022048,-2.911566610419362,1.2874517470281588,-2.9122019753790944,1.3328803416490798,-2.620448436964482,1.0930905802983575,-2.451181160596713,0.9287156141205337,-1.5220900055263389,0.15899214423579977
-2.7652995455939333,1.139650729657089,-2.8271659393873803,1.2219214153002516,-2.8277407933985668,1.2630234771001323,-2.397356671865033,0.8787940815700711,-2.1120142684488705,0.7175475314320764,-1.4453538025145658,0.0988242171293543
-2.6808625679928237,1.0715244782365574,-2.7427592172605424,1.15595843029024,-2.758555168157419,1.2000748017698346,-2.2976669011670907,0.8053872413730907,-2.029801068206826,0.64562724353771,-1.2764155544295175,-0.042025226834063734
-2.5964134882020042,1.0025329202518178,-2.65837064841827,1.0912934051265406,-2.3612484441798802,0.7691146256110546,-2.220991461232817,0.7495638743077732,-1.945358039510861,0.5770683388350746,-1.19193016806957,-0.11361270451142702
-2.5119402040317675,0.9318107491386625,-2.574121254757653,1.0365794054512336,-2.31168930497682,0.7226949961217244,-2.1672718581452823,0.7071416653137801,-1.8609271130046068,0.5093747406966469,-1.1074931904684604,-0.18173895593195888
-2.427406408912984,0.8567620452044667,-2.4898597589073264,0.9810000992117185,-1.9937085565596995,0.5069244254739618,-1.8306232299727618,0.5132353392138826,-1.7765445952571888,0.44514236881505176,-1.0229775486342412,-0.2554897000198424
-2.3429210225530372,0.7851745675271034,-2.405652722910691,0.9293146725111393,-1.8335918971084286,0.2913773923552865,-1.444064162923679,0.22367380991034924,-1.6921862818891888,0.38264061006187244,-0.976765337229649,-0.30378046250698976
-2.258405380718818,0.7114238234392196,-2.3214033292500744,0.8746006728358322,-1.742753936901348,0.25999264931363575,-1.3628614955223544,0.16974191424499918,-1.6078219174263335,0.3197061980265892,-0.8003981095658155,-0.4331548875299891
-2.1738715856000344,0.6363751195050242,-2.237087373546057,0.8151274870573809,-1.603563459422407,0.21871909780471555,-1.278297444929299,0.09252994390028335,-1.5234151952994957,0.25374321301657776,-0.6466841640059897,-0.5707608185868644
-2.0893256882915416,0.5604611090066207,-2.152335739012507,0.724503264967441,-1.5168663978931036,0.056827727871277656,-1.2090763775611446,0.027047156489091062,-1.4389963709829523,0.18691492144235822,-0.5730332629832073,-0.6816531828922918
-2.004749535508777,0.48238383209769675,-2.067547797909832,0.631283123184877,-1.458389265549826,-0.05443429349660711,-1.1012726649579285,-0.08385947111135139,-1.3545533422869873,0.11835601673972307,-0.5036173719717905,-0.7610658607969407
-1.920112871777464,0.399980022367733,-1.9827598568071547,0.5380629814023128,-1.403741827917921,-0.16319667241321545,-1.016436315096417,-0.1805408391507477,-1.2776997312264395,0.049793414145787196,-0.46024388044086173,-0.8777116817288091
-1.8354277992873165,0.31411498638093716,-1.8979719157044777,0.444842839619749,-1.3414587730216283,-0.2752586269098254,-0.966248534372351,-0.24176127856846508,-1.154613066101243,-0.0685502011292094,-0.4356492054043333,-1.0082897703699696
-1.7505914494258015,0.21743361834154107,-1.8132989454040374,0.3598431101971611,-1.2641802406335128,-0.3742031044248426,-0.6605734437289179,-0.6629714360445194,-1.0699400958008027,-0.15354993055179733,-0.4110212493461063,-1.1412474520627018
-1.6695031477172293,0.11741416382560388,-1.728807507949238,0.2878229792376936,-1.1792470732543254,-0.4778069249779029,-0.6257171203347962,-0.7132867940184355,-0.9850190306113262,-0.2562884445406497,-0.3869368833089819,-1.2353384472464244
-1.5959550480725877,0.013872098057254423,-1.6443281726841459,0.21666815484243407,-1.1096231758572817,-0.5720920594548766,-3.0154553817847276,1.429469487887152,-0.9001282208961214,-0.35686369211898183,-0.37332891750996744,-1.326572707758356
-1.529945839421325,-0.09328632050796393,-1.5598669907036165,0.14681129029348639,-1.0660416779407278,-0.7036103369590707,-2.8454461821527133,1.2738117141980994,-0.8265597660407327,-0.46186115545574236,-1.8108383931309415,0.3673547991413679
-1.4714924792364048,-0.202848632553297,-1.475381604343669,0.0752238126161231,-1.0340586160867318,-0.8198110242256975,,,-0.7644074580154072,-0.5645747086783195,-2.0556516406010434,0.5915019932536036
-1.420689792016164,-0.30803488644767896,-1.3912774369595624,0.03089349171131195,-1.0019923516784814,-0.9419606941212546,,,-0.70225514999008,-0.6672882619008966,-2.397542348972708,0.8446876418276608
-1.3774821509100423,-0.4128224020058804,-1.3075302841718788,0.012089714450637778,-0.9700092898244854,-1.0581613813878818,,,-0.6439931556799365,-0.7631679138996907,-2.7527865072063777,1.1886449555351126
-1.3419413478362845,-0.5120780570737953,-1.2237831313841934,-0.006714062810036392,-0.9379596659270888,-1.179121254757653,,,-0.5970555044464891,-0.8633276241499361,-3.021339221097822,1.3821639987733831
-1.3063539513321434,-0.6146651424139109,-1.1400420296913616,-0.025085186788606606,-0.9059766040730928,-1.2953219420242803,,,-0.5576640871620064,-0.9665786658729729,,
-1.2705369157782727,-0.7336714198098742,-1.056258570334549,-0.04648488374190496,-0.8739269801756961,-1.416281815394051,,,-0.5182859822861996,-1.0688778703753812,,
-1.2424588271371118,-0.8419900517704786,-0.9792355286180712,-0.12716177823475294,-0.8230366001046256,-1.5277381081227337,,,-0.47890787741039453,-1.1711770748777894,,
-1.2182746180348865,-0.9432198261089164,-0.9095080902646249,-0.22885009109439536,-0.7457950466295085,-1.6240385933582266,,,-0.43951646012591006,-1.2744281166008262,,
-1.1939572848458617,-1.053967972653643,-0.8397806519111803,-0.33053840395403755,-0.6609284412937235,-1.722883227808143,,,-0.400138355250105,-1.3767273211032345,,
-1.1696843263524368,-1.16154332846294,-0.770053213557734,-0.43222671681367997,-0.6063697530530163,-1.8253000252538922,,,-0.3645609430524761,-1.478600528527879,,
-1.1451007449898096,-1.2913282194202433,-0.7003257752042877,-0.5339150296733228,-0.6065306113245672,-1.9494604235438429,,,-0.32883709435936304,-1.5909439453794403,,
-1.1252519436477453,-1.4081645742013462,-0.6422688817937487,-0.6151299673503261,-0.5989924599094483,-2.0814529556072663,,,-0.29277377924491077,-1.7275592113570366,,
-1.1077427981312127,-1.520509655103992,,,,,,,-0.2608406389234652,-1.8401905090463049,,
-1.0910690062593584,-1.6273916562945328,,,,,,,-0.22894077962371817,-1.9504422136840018,,
-1.0783390154589902,-1.7236154102855497,,,,,,,-0.1970076393022726,-2.063073511373271,,
-1.0616818640979861,-1.829307614950304,,,,,,,-0.17332819236250252,-2.1282127910961997,,
-1.0447418240525277,-1.955226360553421,,,,,,,-2.984882183379331,1.3674858019012581,,
-1.0245302595739325,-2.098000279596659,,,,,,,,,,
